negation canaries: 91 functional clauses, 91 already done, 0 to run, 2 workers, 6m0s budget each

SITE                               MEMBER                     VERDICT      SECONDS CONTROL    CLAUSE
internal/service/service.go:469    (*Service).HomeTimeline    REFUTABLE       25.7 -          cursor > 0 ==> forall a int :: 0 <= a && a < len(out) ==> out[a].ID < cursor
internal/service/service.go:487    (*Service).HomeTimeline    REFUTABLE       25.8 -          s.AbsUsers() == old(s.AbsUsers())
internal/service/service.go:488    (*Service).HomeTimeline    REFUTABLE       22.9 -          s.AbsFollows() == old(s.AbsFollows())
internal/service/service.go:489    (*Service).HomeTimeline    REFUTABLE       46.3 -          s.AbsLogLen() == old(s.AbsLogLen())
internal/store/memstore.go:97      New                        REFUTABLE       98.3 -          s != nil
internal/store/memstore.go:98      New                        REFUTABLE       89.9 -          s.AbsUsers() == set[string]{}
internal/store/memstore.go:99      New                        REFUTABLE       89.2 -          s.AbsFollows() == set[dom.Follow]{}
internal/store/memstore.go:100     New                        REFUTABLE       88.2 -          s.AbsLogLen() == 0
internal/store/memstore.go:136     (*MemStore).PutUser        REFUTABLE       88.9 -          !(u.Handle in old(s.AbsUsers())) ==> err == nil
internal/store/memstore.go:137     (*MemStore).PutUser        REFUTABLE       90.0 -          !(u.Handle in old(s.AbsUsers())) ==> s.AbsUsers() == old(s.AbsUsers()) union se…
internal/store/memstore.go:139     (*MemStore).PutUser        REFUTABLE       53.6 -          (u.Handle in old(s.AbsUsers())) ==> s.AbsUsers() == old(s.AbsUsers())
internal/store/memstore.go:140     (*MemStore).PutUser        REFUTABLE       63.2 -          s.AbsFollows() == old(s.AbsFollows())
internal/store/memstore.go:141     (*MemStore).PutUser        REFUTABLE       61.8 -          s.AbsLogLen() == old(s.AbsLogLen())
internal/store/memstore.go:163     (*MemStore).HasUser        REFUTABLE       51.5 -          result == (handle in s.AbsUsers())
internal/store/memstore.go:164     (*MemStore).HasUser        REFUTABLE       54.6 -          s.AbsUsers() == old(s.AbsUsers())
internal/store/memstore.go:165     (*MemStore).HasUser        REFUTABLE       47.8 -          s.AbsFollows() == old(s.AbsFollows())
internal/store/memstore.go:166     (*MemStore).HasUser        REFUTABLE       50.1 -          s.AbsLogLen() == old(s.AbsLogLen())
internal/store/memstore.go:167     (*MemStore).HasUser        REFUTABLE       49.0 -          forall k int :: 0 <= k && k < old(s.AbsLogLen()) ==> s.AbsLogAt(k) == old(s.Abs…
internal/store/memstore.go:194     (*MemStore).PutFollow      REFUTABLE       50.4 -          s.AbsUsers() == old(s.AbsUsers())
internal/store/memstore.go:195     (*MemStore).PutFollow      REFUTABLE       47.2 -          (f.From in old(s.AbsUsers())) && (f.To in old(s.AbsUsers())) ==> err == nil
internal/store/memstore.go:196     (*MemStore).PutFollow      REFUTABLE       47.8 -          (f.From in old(s.AbsUsers())) && (f.To in old(s.AbsUsers())) ==> s.AbsFollows()…
internal/store/memstore.go:198     (*MemStore).PutFollow      REFUTABLE       56.0 -          !((f.From in old(s.AbsUsers())) && (f.To in old(s.AbsUsers()))) ==> s.AbsFollow…
internal/store/memstore.go:200     (*MemStore).PutFollow      REFUTABLE       47.7 -          s.AbsLogLen() == old(s.AbsLogLen())
internal/store/memstore.go:230     (*MemStore).DeleteFollow   REFUTABLE       49.1 -          s.AbsUsers() == old(s.AbsUsers())
internal/store/memstore.go:231     (*MemStore).DeleteFollow   REFUTABLE       49.1 -          s.AbsFollows() == old(s.AbsFollows()) setminus set[dom.Follow]{dom.Follow{From:…
internal/store/memstore.go:233     (*MemStore).DeleteFollow   REFUTABLE       49.2 -          s.AbsLogLen() == old(s.AbsLogLen())
internal/store/memstore.go:289     (*MemStore).Follows        REFUTABLE       53.6 -          result == (dom.Follow{From: from, To: to} in s.AbsFollows())
internal/store/memstore.go:290     (*MemStore).Follows        REFUTABLE       47.1 -          s.AbsFollows() == old(s.AbsFollows())
internal/store/memstore.go:291     (*MemStore).Follows        REFUTABLE       42.9 -          s.AbsUsers() == old(s.AbsUsers())
internal/store/memstore.go:292     (*MemStore).Follows        REFUTABLE       43.5 -          s.AbsLogLen() == old(s.AbsLogLen())
internal/store/memstore.go:339     (*MemStore).PutTweet       REFUTABLE       45.0 -          s.AbsUsers() == old(s.AbsUsers())
internal/store/memstore.go:340     (*MemStore).PutTweet       REFUTABLE       46.0 -          s.AbsFollows() == old(s.AbsFollows())
internal/store/memstore.go:341     (*MemStore).PutTweet       REFUTABLE       42.8 -          s.AbsLogLen() >= old(s.AbsLogLen())
